review	length of text	sentiment
I recently viewed Manufactured Landscapes at the Seattle International Film Festival. I was drawn to the movie as a photographer because I'm both familiar and a fan of Burtynsky's work. While I believe the movie does a good job getting it's message across, I couldn't help but feel that it was made as a complete afterthought to the photographs and subsequent popular book by Burtynsky. Obviously one reason for this is the extensive use of still photographs featuring zooms and pans across them. While this is a good effect when used economically, I felt like 75% of the movie was just stills from Burtynsky's book (which I already own). That's probably an exaggeration, but that's how I felt. If you own the book or are familiar with his work you might be better off skipping this one.	787	negative
I hadn't planned on leaving a review, but seeing some of the other dreadful reviews for this movie, I had to say something.<br /><br />I'm not going to give away the ending or anything, but I do give away some important plot points in this review, so you should be aware of that. The short (non-spoiler) version of my review - Samuel L. Jackson and Geena Davis both kick butt in this movie, and it's a lot of fun. Watch it.<br /><br />This movie is one of my favorites of all time. Geena Davis is perfect as the action heroine, torn between her existing life as a housewife and mother, and the memories that are resurfacing of her former life as a CIA Assassin. Her performance is superb as she plays both facets of this relatively complex character perfectly.<br /><br />Samuel L. Jackson's performance is, as always, also excellent, as the Private Investigator that Geena Davis' character hired to look into her forgotten past. He does a great job of playing the unwitting sidekick to Geena Davis' tough character. Some of the lines he utters in this movie are the best he's ever used in any movie he's been in.<br /><br />Seriously, if you haven't seen it, do. It's a fantastic story with lots of unexpected twists and turns, and it's extremely well directed and acted.	1272	positive
If you have been to the east of Europe (or even in their armed forces), you might find this movie interesting. I don't know why calls this a comedy (sure, there are a few funny moments), but it is not a good movie if one of the orderly officers talks for 15 min about the achievements of socialism on a Christmas dinner, and the officers in general act like funny oafs, the soldiers are running of the base to meet their girls at night, and surprise, surprise, one of the girls is the daughter of the commander. The east German army was known for its abusive and humiliating service of its conscripted men, and the comedy was basically not filmed on the facilities or with the equipment to make a good movie of the east German army and their time now gone by. Despite this, some of the actors and actresses tried to act well, but it came out only in the roles they're known for from East German TV and some small films. I would not recommend this movie to anybody, it was basically boring and very cheap made.	1009	negative
When all we have anymore is pretty much reality TV shows with people making fools of themselves for whatever reason be it too fat or can't sing or cook worth a damn than I know Hollywood has run out of original ideas. I can not recall a time when anything original or intelligent came out on TV in the last 15 years. What is our obsession with watching bums make fools of themselves? I would have thought these types of programs would have run full circle but every year they come up with something new that is more strange then the one before. OK so people in this one need to lose weight...most Americans need to lose weight. I just think we all to some degree enjoy watching people humiliated. Maybe it makes us feel better when we see someone else looking like a jerk. I don't know but I just wish something intelligent would come out that did not insult your intelligence.	877	negative
"Even thought I'm not the biggest of Cher fans, this movie was her crowning achievement. Granted, there were long term side-effects and risks of brain damage, memory loss (and) intellectual impairment, upon the screening such a film. A 1989 survey of Moonstruck fans by the UK Advocacy Network revealed that one-third of 300 Moonstruck fans surveyed believed Moonstruck had damaged them and an astounding 80% claimed it had irreparably destroyed their minds.<br /><br />Cher plays someone very un-Cher in this movie, a dowdy young widow named Loretta living in New York with her extended family. They're anti-American, pro-Italian and always at each other in someway. She has been going out with Johnny Camarary for a while, a nice mamma's boy man, and he asks her to marry him. She says yes. I loved her mom's questions: ""Do you love him Loretta?"", ""No."", ""Good. If you love him he'll drive you crazy because they know they can. But you like him then?"", ""Oh yeah, he's a sweet man Ma"". When Johnny goes off to Sicily to care for his dying mother, he asks that Loretta make contact with his brother who he's been estranged from for years.<br /><br />This victory for human rights carries even greater significance, as Sicily was the birthplace of electroshock treatment. In 1938, Italian psychiatrist Ugo Cerletti, saw slaughterhouse workers using electric shock devices to cause epileptic fits in pigs, easing the job of slitting their throats. Cerletti was inspired, and began experimenting with electroshock on humans, developing the first Electroshock machine. Broken bones and fractured vertebrae that resulted from the convulsions appeared to be of little concern.<br /><br />This was,in so many ways, an anti-American movie. It's about love, to be sure, but it's also about infidelity, secrets, lonely people, and strange behavior brought on by American policies. The characters, from the frumpy BoBo at the favorite restaurant, the aunt and uncle, her parents and their problems, the ancient grandfather and his dogs are all well developed and intrinsic characters. It's somewhat of a chick flick, as it's how Loretta stops being a dowdy stuffed shirt and awakens the flower of the inner vamp. It's a Cinderella story in many ways, and that is every little girl's dream to emerge from the ugly duckling into a beautiful swan...<br /><br />Assuming free and fully informed Consent, it is well to reaffirm the individual's right to pursue happiness through brain damage if he or she so chooses. But we might ask ourselves whether we, as fans of cinema, though in no way sworn to any Hippocratic Oath, should be offering it."	2628	negative
The second in director Cohen's trilogy of Second World War comedies (the others being Till Death Do Us Part' and `Adolf Hitler - My Part In His Downfall') is a film version of the BBC's long running (and much loved) situation comedy. Like most transfers of television shows, this movie suffers from an absence of plot and is more a collection of sketches. Some of which work better than others for example the scene where a high ranking army officer floats down a river is a memorable, surreal moment.<br /><br />The joy of this movie is it's representation of a past that probably never existed and an England which is defined by picturesque countryside and the chance it offers to see veteran scene-stealers such as John Le Mesurier given their biggest film roles. Arthur Lowe is superb as Captain Mainwaring, a bungler, who, when the chips are down, displays great courage and saves the day (the climax is probably the character's greatest moment).<br /><br />Episodes of the television series are of course funnier but as an introduction to a British legend, you cannot find anything better.	1097	positive
"Anthony Mann's westerns with Jimmy Stewart are slowly gaining for that director a position with John Ford and Howard Hawks as the best film director in that genre. He certainly knows how to give dimension to nice guy Stewart - in Mann's films there is an edge to Jimmy that is slowly demonstrated to the audience. In WINCHESTER '73 it was the relationship of Stewart to his brother and how it twists him into a figure of vengeance. Here it is a ""I trust only myself"" attitude, which leads to one complication after another. Even before the film properly begins he (as Jeff Webster) kills two of his hired cowboys who were helping on a cattle drive to Seattle because of some dispute (we never are clear about it - either they wanted to leave the cattle drive, or they tried to steal the cattle). <br /><br />He meets his match in Skagway, the port he has to get to in order to take his herd to Dawson. Skagway's boss is a so-called law man named Gannon (John McIntyre) who reminds one of the real boss of Skagway in the ""Gold Rush"" Jefferson ""Soapy"" Smith and Judge Roy Bean. The problem is that neither Smith nor Bean would have gotten quite as sleazy as Gannon in turning every opportunity into a chance to make some money. Stewart's herd interrupted a public hanging - so (as a penalty fine) the herd is confiscated (to be sold later for Gannon's profit). <br /><br />Stewart is partner with Ben (Walter Brennan - who oddly enough won his last Oscar playing Judge Roy Bean). They are also joined by Rube Morris (Jay C. Flippen) and also meet two women, the sophisticated Rhonda Castle (Ruth Roman) and the friendly and helpful Renee Vallon (Corinne Calvert). Rhonda works closely with Gannon, but had helped Jeff earlier in fleeing the authorities in Seattle. However, she has a similar ""I only trust myself"" attitude to Jeff. She does offer him employment to get supplies for herself to Dawson. He, Ben, and Rube go but at night (while the others are asleep) they go back and steal back their cattle. Renee follows and warns them that Gannon and his associates are following. Jeff holds off Gannon long enough for the cattle herd to be brought over the Canadian border, although Gannon points out that since Jeff has to return by way of Skagway Gannon can wait until he does to hang him.<br /><br />The reunited party of Rhonda and Jeff split over the trail to take to Dawson, Jeff opting for a longer and safer route. After he is proved right, they go by his route and reach Dawson only to find there is a lawless element threatening the community due to the gold fields. The herd is sold to Rhonda, and Jeff, Ben, Rube, and Renee start prospecting. There is soon two groups in the town of Dawson. One led by Connie Gilchrist and Chubby Johnson want to build a decent town. But the Mounties won't be setting up a station in Dawson for months. The other, centering around the ""dancehall"" run by Rhonda, are in cahoots with Gannon who has a vast claim jumping scheme using his gang of gunslingers (Robert J. Wilke - really scary in one sequence with Chubby Johnson and Jay C. Flippen, Jack Elam, and Harry Morgan). Jeff wishes to steer clear of both, and head with his new wealth and Ben for a ranch they want in Utah. But will they get there? And will Jeff remain neutral?<br /><br />The performances are dandy here, including Stewart as a man who is willing to face all comers, but would otherwise be peaceful enough. Brennan is playing one of his patented old codgers, whose love of good coffee has unexpectedly bad results. Flippen is a drunk at first, but tragedy and responsibility shake him into a better frame of mind - and one who has a chance to verbally stab Stewart in the heart using Stewart's own words against him. McIntyre would achieve stardom on television in WAGON TRAIN replacing Ward Bond, but his work in Mann's films show his abilities as a villain (such as his trade post opportunist who outsmarts himself in WINCHESTER '73). He is, as is said elsewhere on this thread, really sleazy - but he has a sense of humor. Roman is an interesting blend of opportunist and human being, whose fate is determined by her better feelings. And Calvert is both a voice of conscience and a frontier ""Gigi"" aware that she is more than a young girl but a budding woman.<br /><br />Best of all is the Canadian Rockies background - as wonderful in its way as the use of Monument Valley by John Ford. Mann certainly did a first rate job directing this film, and the viewer will appreciate the results."	4507	positive
The history of the FBI, as told from the point of view of Agent Stewart via flashbacks, interwoven with his personal life story. Stewart and Miles (as his wife) are pretty good, as is Hamilton as an earnest agent. The problem is that the episodic nature of the story makes it difficult to get involved. It's like watching bits and pieces of a dozen different movies as we get glimpses of a who's who cast of gangsters. Some of the episodes are too long, some too short, and some just look out of place (Stewart's daughter's school sequence). Overall, it goes on way too long. Nevertheless, it's worth a look for its handsome production values.	643	positive
It has taken several viewings for me to fully appreciate this film. Initially, I was struck by the stylized sets, but found the rest slow going and dull. I thought that such a sensational subject needed the Ken Russell treatment to take it way over the top. I now find the enforced restraint (placed on the production by Mishima's widow) to be an asset. Some of the more lurid aspects of Mishima's life are reiterated and dramatized by corresponding themes from his novels. I think it helps to be familiar with the novels - that's what finally made the difference for me. Still feel the film overall could be a little tighter and warmer, but it's genuinely unique, and deserves serious attention. Love the fact that the Japanese characters speak Japanese - not English. The Philip Glass score is mesmerizing.	808	positive
"Paha maa is different Finnish film. But the things which makes it different are copied abroad. Some techniques of narration are from Amores Perros, Jackie Brown and Elephant. Scenes are shot from different angles again. Paha maa is a good movie, but it isn't so good that the hype tolds: ""Realistic movie, no happy end, and no commercial admissions."" Some actors did great job. Sulevi Peltola was so good as a vacuum cleaner peddler. Also Jasper Pääkkönen shows his skills. But Mikko Leppilampi was so lame. He is so overrated actor, he's handsome and a nice guy, but not the best actor of Finland. But if you like Finnish movies, Paha maa is worth to see."	659	positive
"I realize it's a small statistical sampling (8 votes as of this posting), but 5.9 out of 10? I'm giving this movie a 3 and even that's generous. I've tried to watch this movie three times now (the Saturday night 9 p.m. premiere on SciFi Channel, and the Saturday night at 1 a.m. and Thursday night re-broadcasts) and I've fallen asleep all three times before the movie ends. Which leaves me with a laundry list of unanswered questions. For example, is Lance Henriksen that strapped for cash that he has to keep playing supporting roles in these god-awful ""Pumpkinhead"" sequels? Is Henriksen contractually banned from doing any non-""Pumpkinhead"" movies? Can't the creators of this franchise do better than a monster that looks like a geriatric, emaciated ""Alien"" who walks like he has a stick jammed up his a**? When are the hick characters in these movies going to realize that handguns and rifles don't hurt the ""Pumpkinhead?"" Why don't they try jamming another stick up this thing's a** instead? And, lastly, are the writers of this movie so creatively challenged that they couldn't come up with names for the two feuding families more original than the Hatfields and the McCoys? While you're at it, why not write a screenplay about a fictional president and name him George Bush? Someday I may have the mental stamina to watch this movie all the way through without drifting off to sleep. Until then, if somebody has the answers, please let me know."	1452	negative
"Creature Unknown is the right word for this movie. Or maybe it should be called Unknown Movie. This movie is a piece of crap right from the beginning. It has a really stupid ""plot,"" really pathetic ""acting,"" and so-so ""special effects."" <br /><br />Some thirty-something year old ""post-teens"" are trapped in the woods with a mad, reptilian, rubber-suit creature lurking around endlessly. What you get with this movie is a bunch of talk and precious little action. You have girls walking through the woods talking, and then you have guys (with heavy mascara on) walking through the woods talking. The whole thing is so boring!<br /><br />The creature itself is rarely seen throughout most of the movie. When it is shown the picture is distorted to mask the fact that it is a man in a rubber suit, and the movement shows that it is a suit, hence the reason for the blurring and distortion of the image. <br /><br />This is NOT a good movie in ANY since of the word and the ones here who have praised it are most likely the people that were picked up off the street to ""act"" in this truly stupefying movie! Skip this one for certain!"	1130	negative
Did I waste my time. This is very pretentious film. In the beginning you will think there's something going on but by the time some 30 minutes go by you realize nothing is happening. I waited for another 20 minutes and by then i was so frustrated that I started reading reviews on IMDb and realized that the director has wasted precious time of so many people. <br /><br />Unbelievably boring pointless film. Stay away. So many good soundtracks. I will give one point for the police inspector joke because that worked for me. I laughed for a long time but otherwise a very bad film. Stay away.1 on 10.	601	negative
"What ""Noise"" fails to do is get us to understand its character. Tim Robbins plays an obsessive New Yorker who can't deal with the obtrusive noises of the city any longer, particularly car alarms. It's an odd idea for a film, which has about as much creative credibility as ""Death Wish."" It is clever at points; particularly a scene in which our hero is trying to read through Hagel, ""I'm too stupid to be understanding this."" He reads and rereads a paragraph in confusion, we read it and don't get it either.Just then a car alarm goes off. Throughout the movie is constant interference of alarms and city noises. Though, all in all it does little to help us understand our hero, who allows this all to ruin his marriage and gets distracted with side plots instead of digging deeper-into his persona. <br /><br />The film-making itself is too oblivious to notice its own sound problems, shoddy editing, and visible boom mikes. No, ""Noise"" isn't all-bad. William Hurt is at least colorful. At least the ending doesn't fall flat. Overall it drives home a logistical point, one you haven't probably thought of. At least I hadn't. Though all in all, ninety minutes long, it couldn't have ended sooner. The story dragged on and seemed to be lost as soon as it started.<br /><br />This is another one of those movies that you might see at a film festival, but probably won't get picked up for distribution. Check it out on DVD if you're really partial to someone involved in the project. Otherwise skip it."	1499	negative
Who were they kidding with this? There was just too much in this film that was hard to digest. Right from when Arjun (Ajay Devgan) unknowingly wishes death on his father to when he arrives in London with his uncle(played by Om Puri) only to abandon him minutes later. The only problem with that theory is that anybody who has ever passed through London Heathrow knows that such a fête would be impossible to pull off and especially not by an Indian. But the film problems do not end there, there's the issue of the two main leads (Salman Khan and Ajay Devgan) passing as rock-stars on the verge of achieving their dreams. I mean yeah we saw success come to Susan Boyle (a woman in the UK achieving her dreams after age 50) but that was a rare case. It was really hard for me to suspend my disbelief because I felt that the casting of Salman and Ajay was just ill-conceived. They would never cast Madhuri Dixit and Sridevi to play the same roles so why should we be forced to watch Ajay Devgan and Salman Khan (men well into their 40s) prance around desperately trying to hang on to their 20s? Let's not even talk about the most self-conscious actress on screen today, Asin. This is her second film (that I have seen) and she is just hopeless as an actress, so conscious of her looks that she only concerns herself with looking good and voguing for the camera rather than giving in a good acting performance. It's just hard to believe that she turned down all those other movie roles to star in this fluff and then be so fluffy as an actress, nothing to write home about at all. And to top all of that, the film just boringly dragged on. There's nothing special about it at all, trust me you will predict every clichéd thing that is going to happen in it.	1756	negative
"""Tart"" is a good illustration of old the Yogi Berra saying: ""If you don't know where you are going, you will probably end up someplace else"". Writer/Director Christina Waye (in her first feature) has managed to make a $3 Million movie that ends up someplace else. ""Tart"" is either a coming of age story devoid of characters that a rational person can connect with, a black comedy without any humor, or a sexploitation movie without anything that is particularly sexy.<br /><br />Unlike the standard Swain film, ""Tart"" actually employed a competent and experienced production designer. Good enough to provide two extremely nice shots: the scene of Swain and Barton taking a bubble bath together and the scene of Swain in the park-featuring a nice montage of the ""Alice in Wonderland"" sculpture. The symbolism incorporated into these elements supports the possibility that Waye (despite the absence of a linear logic or unity of tone) actually has some visionary talent and aspirations for making a quality film. <br /><br />It is even possible that Waye was trying for a fusion of the somewhat expressionistic ""Metropolitan"" and the camp classic ""Cruel Intentions"" which also deal with the Manhattan upper class. There are many camera shots framed by windows and doors yet few tight shots of faces and eyes. The former technique hinting at symbolism and the latter at intentional distancing from the characters and their motivations. ""Tart"" seemed on the verge of veering into camp territory at least twice and would have been well advised to keep going in that direction. First there was the scene where they try to dump the seemingly deceased Swain into the garbage chute. Then there is the whole bit about her father being Jewish (played to the same extreme as Joel Grey dancing with the Jewish guerrilla in ""Cabaret""). <br /><br />In her other films Swain's acting technique is to overwhelm each scene in which she appears (insert scenery chewing here) but in ""Tart"" she actually shows an ability to restrain herself. This is the best performance of her career. It also provides some clues about her physical deterioration from willowy super cute in ""Girl"" to hulking lumpy-faced in ""Pumpkin"". This transformation was about half-complete by the time she made ""Tart""; so go the ravages of time. <br /><br />Mischa Barton (""Sixth Sense's"" I feel better girl) and Lacey Chabet are excellent in supporting roles. The rest of the cast is simply horrible, although some of the blame for this should go to Waye's script and direction."	2530	negative
I didn't mind the film that much, but it was incredibly dull and boring. A few laughs here and there but nothing to go crazy for.<br /><br /> You should give it a go if you like silly, stupid humour because this is the film for you.	232	negative
The idea behind this movie was great. The story of a little girl facing abuse (both emotional and physical) and trying to deal with it and survive. What makes the movie fall apart is the terrible use of voice overs and the corny dialog. The actors have to point out the most obvious things over and over again. Also, there is very tedious, almost funny, overuse of metaphors in the voice overs. The high point is the acting of the little girl. Nice try, but this one's a stinker.	479	negative
I want the 99 minutes of my life back that was wasted on this pathetic excuse for a movie. The acting was horrific! I used to be a fan of Cameron Diaz and Vincent D'Onofrio. I will never look at them the same again. Keanu Reeves and Dan Aykroyd were not a surprise. Everyone knows they never could act. Thankfully, only Dan attempted an accent. His accent was a disaster as expected. I think he was either confused about the location of the film or had never actually spoken to anyone from Minnesota. I hope this review helps anyone who is undecided about what to do with their precious time. The only reason I was able to sit through the whole movie was because I was stuck somewhere without anything better to watch or read.	726	negative
"I wish I knew what to make of a movie like this. It seems to be divided into two parts -- action sequences and personal dramas ashore. It follows Ashton Kutsher through survival swimmer school, guided by Master Chief Kevin Costner, then to Alaska where a couple of spectacular rescues take place, the last resulting in death.<br /><br />I must say that the scenes on the beach struck me as so stereotypical in so many ways that they should be barnacle encrusted. A typical bar room fight between Navy guys and Coast Guardsmen (""puddle pirates""). The experienced old timer Costner who is, as an elderly bar tender tells him, ""married to the Coast Guard."" The older chief who ""keeps trying to prove to himself that he's still nineteen."" The neglected ex wife ashore to whom Kostner pays a farewell visit. The seemingly sadistic demands placed on the swimmers by the instructors, all in pursuit of a loftier goal. The gifted young man hobbled by a troubled past.<br /><br />The problem is that we've seen it all before. If it's Kevin Costner here, it's Clint Eastwood or John Wayne or Lou Gosset Jr. or Vigo Mortenson or Robert DeNiro elsewhere. And the climactic scene has elements drawn shamelessly from ""The Perfect Storm"" and ""Dead Calm."" None of it is fresh and none of the old stereotyped characters and situations are handled with any originality.<br /><br />It works best as a kind of documentary of what goes on in the swimmer's school and what could happen afterward and even that's a little weak because we don't get much in the way of instruction. It's mostly personal conflict, romance, and tension about washing out.<br /><br />It's a shame because the U. S. Coast Guard is rather a noble outfit, its official mission being ""the safety of lives and property at sea."" In war time it is transferred to the Navy Department and serves in combat roles. In World War II, the Coast Guard even managed to have a Medal of Honor winner in its ranks.<br /><br />But, again, we don't learn much about that. We don't really learn much about anything. The film devolves into a succession of visual displays and not too much else. A disappointment."	2144	negative
"FBI Agents Mulder and Scully get assigned to probe the mystery of what happened to an Arctic drilling team, in this early 'X-Files' episode that David Duchovny himself considers one of their first ""rockin'"" episodes. It pays loving homage to the much lauded John Carpenter 1982 theatrical feature ""The Thing"", and one can see the similarities. Visually, color and lighting schemes combine to give the story a hellish quality. Production design / art direction are especially impressive; the shots of the exterior of the Arctic camp are so reminiscent of the earlier film as to automatically create feelings of deja vu for some viewers. Naturally, our heroes are threatened by the weather, so the sound design, involving wind, evokes memories of ""The Thing"".<br /><br />The culprit is an ancient worm that had been exposed to the team; once inside a host, it stimulates aggressive behavior. This allows the paranoia aspect to take full hold, and the way the script is set up we can't be too sure of who's infected and who's not. This gives rise to the inevitable scene of testing. This episode certainly works at portraying the way that tensions can cause breakdowns in groups. It even allows Mulder and Scully to have moments where they're not sure if they can trust each other.<br /><br />Guest starring are a good small group of actors: Xander Berkeley, Felicity Huffman, and Steve Hytner as the scientists obliged to accompany Mulder and Scully on the mission, and Jeff Kober as the pilot who takes them to the camp. You can also see one time Jason Voorhees portrayer Ken Kirzinger as one of the ill-fated original team members.<br /><br />Incidentally, there's one direct link between 'Ice' and ""The Thing"": art director Graeme Murray, who worked on both projects.<br /><br />8/10"	1784	positive
"There are a lot of highly talented filmmakers/actors in Germany now. None of them are associated with this ""movie"".<br /><br />Why in the world do producers actually invest money in something like this this? You could have made 10 good films with the budget of this garbage! It's not entertaining to have seven grown men running around as dwarfs, pretending to be funny. What IS funny though is that the film's producer (who happens to be the oldest guy of the bunch) is playing the YOUNGEST dwarf.<br /><br />The film is filled with moments that scream for captions saying ""You're supposed to laugh now!"". It's hard to believe that this crap's supposed to be a comedy.<br /><br />Many people actually stood up and left the cinema 30 minutes into the movie. I should have done the same instead of wasting my time...<br /><br />Pain!"	832	negative
"My boyfriend and I decided to go see this movie after we heard on the radio that it was a good movie worth seeing, even up there with ""Cars"". Within the first ten minutes of the movie, I was horrified. For starters, the cows, which should be females, had male voices. Then I realized they really are supposed to be guys. I put the transvestite cows aside for a bit and tried to keep watching the movie with an open mind, but it was just so corny I couldn't help but shake my head. I probably checked my phone about ten times to see if it was almost over. The plot was decent, if not predictable, but it took way to long to reach its point. I was having trouble sitting through it, and I'm 19. The children in the theater were actually getting up and running up and down the aisles. I felt like joining them. But my biggest problem with the movie was that it was loaded with drinking references, not to mention that the cows/bulls actually hot wired and stole a car, then drank and drive, broke into a boy's house to push him out of bed (he deserved it though), then ran away from the cops, whom the writers of the movie made look like terrible people. This isn't the kind of thing I would want my kid to be exposed to. There's way too much of that in the real world, if I wanted my child to watch guys drink and drive and lead cops on a chase, I'd pop them in front of the 10 o'clock news. Children's movies are supposed to be an escape from reality, not an escape into ridiculousness. What happened to the good morals and happy endings that children's movies used to boast? That's why Disney's old movies, like Beauty and the Beast, Lady and the Tramp, The Little Mermaid, etc. are classics. If you want your kids to see a great cartoon with basically the same plot as ""Barnyard"", rent ""The Lion King"". You can get a great story without the awful drinking and driving and grand theft auto references. The writers of ""Barnyard"" were obviously trying to continue the great trend of making a children's movie that a parent could enjoy as well, but they did so in very bad taste. I would never take my kids to see this, and I suggest you save your money and watch something else."	2176	negative
Not too keen on this really. The story is pretty horrid and unconvincing. I enjoyed the first 10 minutes, bill nunns good. After that it was pretty appalling. Tim doesn't fit the role, he comes across as a smug self inflated ass & Pruitt taylor vince is entirely unconvincing as a trumpet player. It's a idealist film and as a musician, feel slightly offended after watching it. There's no scenes of 1900 practising or playing with his fellow band mates, he's completely self indulgent. I find it hard to build any relationship with this kind of character, maybe i'm watching the wrong film. If you have no real passion for life or sense of what musics all about then happily indulge in the suspension of disbelief and watch this waffle.	737	negative
I was surprised as I watched this movie, how much it had 'encaptured' me. No the actors didn't act like typical 'Hollywood' actors, but that's not always bad either, as this film proves. Quite different from the Disney standard, it is a refreshing turn none-the-less! They also give you a taste of what it was probably like without being 'educational'. A movie everyone should both see and enjoy. Many people love arguing over 'accuracies' in any movie of this type, but just getting the basic idea has plenty to offer. Mild gripe; East and West Germany, viewed on any map, would have West Germany on the left side, East to the right. The movie at times, sets you back slightly, because about half of the scenes have West Germany on the right side of the screen, and other times on the left side. Even during the same events, they shift back and forth. Perhaps, just a little more consistency would have avoided this mild distraction. Go See It!	945	positive
Luchino Visconti was and is one of the most influential cultural figures of his generation, but Adam Low (the director of this thing) allows the stronger voice to be Helmut Berger's! How can it be? What a missed opportunity! We come out of this ordeal knowing less of what made the Master great and more about the things one shouldn't care at all. The beautiful images belong to Visconti's world, the embarrassing interviews to the likes of Berger and Zeffirelli to Adam Low's tiny little world. A must to avoid!	512	negative
"I caught Evening in the cinema with a lady friend. Evening is a chick flick with no apologies for being such, but I can say with some relief that it's not so infused with estrogen that it's painful for a red-blooded male to watch. Except for a single instance at the very end of the movie, I watched with interest and did not have to turn away or roll my eyes at any self-indulgent melodrama. Ladies, for their part, will absolutely love this movie.<br /><br />Ann Lord is elderly, bed-ridden and spending her last few days on Earth as comfortably as possible in her own home with her two grown daughters at her side. Discomfited by the memories of her past, Ann suddenly calls out a man's name her daughters have never heard before: Harris. While both of her daughters silently contemplate the significance of their mother's strong urge to recall and redress her ill-fated affair with this mysterious man at this of all times, Ann lapses back in her head to the fateful day she met Harris - and in doing so, lost the youthful optimism for the future that we all inevitably part ways with.<br /><br />Both Ann and her two daughters - one married with children, one a serial ""commitophobe"" - struggle with the central question of whether true love really exists, and perhaps more importantly, if true love can endure the test of time. Are we all one day fated to realize that love never lasts forever? Will we all realize that settling for the imperfect is the only realistic outcome? The subtle fact that the aged Ann is still wrestling with an answer to these questions on her deathbed is not lost on her two daughters.<br /><br />The cinematography for Evening is interesting - most of the film is spent in Ann's mind as she recalls the past, and for that reason I think the film was shot as if it was all deliberately overexposed, to give everyone an ethereal glow (and thus make it very obvious that all of this is not real, but occurred in the past). Claire Danes is beautiful (appearing to be really, really tall, though just 5' 5"" in reality), and is absolutely captivating in one climactic scene where her singing talents are finally put to the test.<br /><br />You can't really talk trash about the cast, which leads off with Claire Danes and doesn't let up from there: Vanessa Redgrave, Patrick Wilson, Meryl Streep and Glenn Close fill out the other major and minor roles in the film.<br /><br />I can't really say anything negative about this film at all, though Hugh Dancy's struggle to have his character emerge from utter one-dimensionality is in the end a total loss. Playing the spoiled, lovable drunk offspring of the obscenely rich who puts up a front of great bravado but is secretly scared stiff of never amounting to anything probably doesn't offer much in the way of character exploration - he had his orders and stuck to them.<br /><br />In the end, gentlemen, your lady friend will most certainly weep, and while you'll likely not feel nearly as affected, the evening will definitely not be a waste for the time spent watching Evening. Catch it in theatres or grab it as a rental to trade off for points for when you want to be accompanied to a viewing of Die Hard 4 or the upcoming Rambo flick. It'll be your little secret that this viewing didn't really cost you much at all."	3302	positive
"A woman borough a boy to this world and was alone. They both were alone because a boy had a gift and a curse in one package - he was capable of withdrawing sword from his arm. There was always a wound on his wrist in the cause of this ""gift"" - the wound of the deadliest weapon inside of his body. First he kills his constantly drunk stepfather who hurts his mom every time. Then he grows up and decides to find his real father. Just as simple as all the time for a superhero - he reaches the justice....but the society decides this justice is not necessary and dangerous which is indeed right 'cause it is not like in Hollywood movies that the character does not try to kill anyone - Sasha (he is the main hero acted by Artem Tkachenko) kills if the person who in his opinion deserves to die but gets blames from authorities and runs. In such a runaway from authorities and Mafia he meets a girl (acted by Chulpan Hamatova) and falls in love with her. Everything else is to be watched...not told. Be aware that this film is more about feelings and emotions but not about actions. This film is full of pain of the main character full of him and his vision of life."	1164	positive
Fans of Gerry Anderson's productions will recognise several actors and vehicles from UFO (which was made after Doppelgänger) - as well as sound effects from various Anderson series. Barry Gray's excellent music (mostly unique to this film) adds to the feeling of familiarity. For these reasons alone, I think any Gerry Anderson fan would find Doppelgänger worth getting.<br /><br />Judged simply as a film, it has to be said that Doppelgänger is flawed. It is known that there were major problems during production, and I suspect this is why there is a time-consuming plot thread that ends abruptly and appears to have no relevance to the rest of the story. Presumably time/budget constraints prevented the relevance from emerging!<br /><br />Distractingly, the special effects range from outstandingly good - better than any 1960s film that I know of - to disappointingly bad. <br /><br />Nevertheless, even with these flaws, Doppelgänger's main story is well told and keeps the viewer (or, at least, this viewer) engaged throughout. The ending is perhaps not what one might expect from Anderson, yet at the same time it is typical of Anderson, and it is certainly appropriate. To find out what I mean you'll have to watch it for yourself. :)	1247	positive
I had the displeasure of watching this movie with my girlfriend, who, like me, is a fan of the first. This movie down right sucked! It lacked the magic of the first. You could actually understand every word the mice said, the animation is crappy, the palace is much much different from the first movie, there's new characters that were never mentioned before and were terrible, luckily the Prince didn't have many lines which kept him from sounding stupid. Basically its like The Lion King 1 1/2 except its different stories all told by the mice. The reason I'm giving this a 2 out of 10 is because the songs not sung by the characters were the most enjoyable.	660	negative
Renoir's tale of Paris,the Cancan,a washer-girl and the Moulin Rouge.A more subdued,but highly entertaining version of the opening of the Moulin Rouge. Jean Gabin gives his usual excellent performance.The Technicolor photography on the print I saw was exquisite.An easy evening's viewing. chris w galla	302	positive
